"id","energy","time","wday","lights","t1","h1","t2","h2","t3","h3","t4","h4","t5","h5","t6","h6","t7","h7","t8","h8","t9","h9","t_out","press","r_out","windspeed","visibility","tdewpoint","r1","r2"
30,100,"09:10:00","Sun",0,20.79,36.9,18,40.1633333333333,21.7,35.56,19.89,34.4,19.1,79.2266666666667,5.8,47.09,19,30.2,21.79,38.43,19.39,39.2233333333333,5.18333333333333,762.05,80.5,3.83333333333333,22.1666666666667,2.1,48.1943923048675,48.1943923048675
31,280,"11:40:00","Sun",0,22.0333333333333,37.4,20.89,34.4266666666667,21.79,40.6333333333333,21.79,38.6333333333333,18.1,49.7233333333333,NA,96.4333333333333,19.5333333333333,37.8266666666667,20.29,45.26,17.89,41.29,2.03333333333333,765.533333333333,79.6666666666667,1.66666666666667,29,-1.2,42.2801304841414,42.2801304841414
32,150,"08:20:00","Fri",10,21.0666666666667,33.4333333333333,19.15,32.95,19.3266666666667,36.53,18.1,42.4,17.9266666666667,56.06,2.43333333333333,86.99,18.29,41.76,19,47.9333333333333,17.39,46.26,3.2,752.933333333333,78.6666666666667,8.66666666666667,40,-0.2,19.403924443759,19.403924443759
33,40,"12:00:00","Fri",0,18.39,38.79,17.5,38.79,18.5,39.29,16.39,38.4333333333333,16.245,47.555,2.76666666666667,91.3666666666667,16.225,33.025,18.0277777777778,41.7311111111111,15.89,39.9666666666667,2.7,762.1,71,5,22,-2.1,27.770206599962,27.770206599962
34,110,"20:40:00","Sat",0,18.7,NA,18.3566666666667,43.5,17.7,44,15.6,48.7,15.4327777777778,51.3144444444444,5.93333333333333,99.9,15.4083333333333,40.8877777777778,18.79,49.9972222222222,14.89,44.9,5.9,770.366666666667,90.3333333333333,4.66666666666667,22,4.36666666666667,28.6895698751323,28.6895698751323
35,60,"13:50:00","Thu",0,20.6,37.8633333333333,20.29,35.56,20.245,37.145,22.1333333333333,35.3333333333333,17.76,45.29,NA,32.0233333333333,19.7,30.5666666666667,20.6,36.59,17.9266666666667,41.29,9.55,758.783333333333,55.6666666666667,1,21.8333333333333,1.01666666666667,12.7184811979532,12.7184811979532
36,50,"02:40:00","Sun",0,22.1,43.59,21.39,43.23,21.9633333333333,44.79,19.1,44.59,19.1888888888889,61.4722222222222,10.66,64.3633333333333,18.79,40.2,22.0055555555556,51.8144444444444,19.1,49.5,11.0666666666667,741.333333333333,66,8.66666666666667,40,4.83333333333333,30.6383670424111,30.6383670424111
37,200,"08:20:00","Tue",40,21.73,46.4666666666667,20.8566666666667,46.1633333333333,22.8566666666667,45.1666666666667,20.4633333333333,49.8633333333333,19.6277777777778,58.2855555555556,8.8,99.8,18.79,45.5,20.6,54.645,18.29,52.4,8.93333333333333,757.9,91,6,62,7.56666666666667,8.05634398711845,8.05634398711845
38,30,"03:40:00","Tue",0,21.2,NA,17.5,40.6633333333333,21.6,35.2,20.1333333333333,33.59,19.5,40.29,-0.433333333333333,53.83,20.7,27.5,22,39.5,19.4266666666667,38.5,-0.266666666666667,766.066666666667,85,1.33333333333333,63.6666666666667,-2.53333333333333,1.75583562813699,1.75583562813699
39,280,"17:50:00","Mon",0,21.6,NA,19.73,32.1633333333333,22.6666666666667,34.3,19.7,31.8566666666667,17.2,46.03,NA,29.8233333333333,22.5333333333333,23.2,22.89,30.13,18.5,38.2,4.73333333333333,762.916666666667,60,4.16666666666667,40,-2.56666666666667,3.65633650217205,3.65633650217205
40,50,"02:50:00","Sat",0,22.29,37.59,18.7,42,23.29,37.5,20.39,40,19.5777777777778,46.95,1.05,66.14,20.8177777777778,37.1755555555556,22.7,43.6033333333333,19.79,41.8266666666667,4.06666666666667,758.55,86,3,27.1666666666667,1.86666666666667,13.6577049852349,13.6577049852349
41,80,"18:00:00","Sat",0,22.79,40.0266666666667,21.89,39.59,22.1,40.272,18.6,47,17.736,52.2,9.6,92.8666666666667,17.8233333333333,41.4633333333333,21.5,51.1633333333333,17.79,44.09,9.6,753.7,94,9,61,8.7,13.018529699184,13.018529699184
42,30,"20:20:00","Thu",0,19.1666666666667,44.09,18.2,44.09,19.7,43.76,17.79,44.29,17.1,51.9,NA,93.4,18.285,38.9944444444444,18.3011111111111,45.4,17,45.03,3.06666666666667,765.866666666667,89,3.66666666666667,27,1.4,6.9732867879793,6.9732867879793
43,50,"20:20:00","Fri",0,20.5,NA,18.7,38,21.7675,36.2,18.73,36.2,17.2,45.0385714285714,NA,75.95,18.6,30.125,20.29,37.2,17.79,40.714,4.2,759.366666666667,80,4.66666666666667,40,0.933333333333333,25.0112345558591,25.0112345558591
44,70,"02:10:00","Wed",0,21.7,40.79,19.3566666666667,43.09,23,39,21.39,39.7,20.0333333333333,46.4633333333333,9.5,44.2266666666667,21,34.09,24,45.29,20.39,40.9333333333333,9.58333333333333,750.616666666667,75.8333333333333,6.83333333333333,40,5.55,49.8172383755445,49.8172383755445
45,50,"09:10:00","Sat",0,21.39,39.0666666666667,18.4633333333333,43.6,23,37.09,20.1,39.9666666666667,19.39,46.79,6.96333333333333,72.3966666666667,20.7,38.7233333333333,22.1,44.09,19.79,42.1633333333333,7.08333333333333,756.666666666667,88.1666666666667,8.66666666666667,20.6666666666667,5.21666666666667,18.4251675847918,18.4251675847918
46,100,"19:50:00","Sat",10,21.89,55.2333333333333,21.29,45.5,21.7,49.56,20.6666666666667,41.0266666666667,17.7,57.9222222222222,2.66333333333333,97.03,16.89,39.4,20.6277777777778,47.66,16.29,44.2,3,754.5,88.8333333333333,3,29.1666666666667,1.31666666666667,2.95466416282579,2.95466416282579
47,50,"20:20:00","Fri",0,17.89,40.5,16.8233333333333,41.03,18.1,39.9,15.8,40.1633333333333,15.89,48.29,3.7,99.5,16,35.4,17.29,43.29,15.5,40,3.7,761.3,97,6.66666666666667,44.3333333333333,3.2,42.0100196963176,42.0100196963176
48,50,"06:40:00","Sun",0,20.5,40.29,18.6333333333333,41.53,21.5,40.8633333333333,18.7,41.03,17.9755555555556,51.79,2.76,92.09,19.2,39.0961111111111,21.225,46.9327777777778,18.2,45.5,2.43333333333333,734.9,96.6666666666667,2.33333333333333,44.3333333333333,1.96666666666667,18.0401888908818,18.0401888908818
49,110,"15:00:00","Wed",0,19.39,36.6633333333333,17,40.03,19.79,36.59,18.7,35.93,17.39,43.2,7.26333333333333,40.3333333333333,18.1,32.86,19.945,38.59,17.6,36.9666666666667,6.9,744.7,66,8,40,1,37.9537672619335,37.9537672619335
50,40,"03:50:00","Thu",0,18.7,42.29,18.1,41.59,19.79,43.29,18.29,42.0266666666667,17.6,63.1566666666667,3.06,91.3966666666667,18.1,42.4,19.1666666666667,50.59,16.7,47.045,3.36666666666667,752.233333333333,89,5.16666666666667,30,1.76666666666667,20.9160817903467,20.9160817903467
51,100,"16:40:00","Mon",20,21.5,42.86,20.9266666666667,41.3633333333333,24.7266666666667,43.16,21.5,42.29,18.8622222222222,52.9922222222222,NA,62.7666666666667,19.5944444444444,35.09,22.6277777777778,45.5033333333333,19,42,7.93333333333333,740.7,72.6666666666667,11.6666666666667,56.6666666666667,3.26666666666667,45.0847656233236,45.0847656233236
52,50,"16:00:00","Fri",0,22.2,38.09,21.79,37.29,21.0333333333333,39.8266666666667,20.2018518518519,40.7459259259259,19.8788888888889,42.7894444444444,NA,80.8233333333333,17.76,36.4,18.29,42.7,17.5,43.1333333333333,1.7,756.2,96,7,21,1.1,7.9197978368029,7.9197978368029
53,40,"11:10:00","Fri",0,21.29,NA,20.7,45.09,21.6,44.4,19.79,47.29,18.6,58.775,NA,98.8,18.39,44.2,20.3011111111111,51.09,18.5,49.09,9.55,763.55,93.6666666666667,5,27.5,8.58333333333333,32.0415076334029,32.0415076334029
54,50,"01:20:00","Sun",0,21.39,39.79,19.6666666666667,40.8633333333333,21.5,40.7,19,41.09,18.1,52.1266666666667,3.29,92.3333333333333,19.1,38.04,21.73,46.0427777777778,18.05,43.645,2.7,733.233333333333,99,2.66666666666667,17,2.6,42.0108948252164,42.0108948252164
55,50,"02:50:00","Thu",0,22,39.09,19.29,42.9,22.89,39,20.79,39.5,20,48.7,6.5,64.23,20.6,34.5,23.39,45.8266666666667,20.29,42.1633333333333,6.1,754.3,97.8333333333333,1,63.3333333333333,5.76666666666667,1.37994601391256,1.37994601391256
56,50,"13:20:00","Thu",0,22.1333333333333,34.8333333333333,21.5,33.4,21.5,34.4333333333333,21.89,32.8266666666667,18.5,41.29,9.43333333333333,19.1333333333333,21.2,25.3233333333333,22.76,32.1566666666667,19.89,37.76,9.53333333333333,765.666666666667,51.6666666666667,4.33333333333333,26,-0.0333333333333333,42.2811095253564,42.2811095253564
57,50,"00:20:00","Sat",10,21.2,37.3633333333333,18.6,39.8633333333333,21.39,37.59,19.29,36.2,18.7,46.0666666666667,1.1,77.69,18.6,32.1266666666667,21.6666666666667,40.86,18.3566666666667,38.8333333333333,0.533333333333333,740.5,97,1,62,0.133333333333333,19.0028155222535,19.0028155222535
58,50,"03:10:00","Thu",0,22,39.09,19.29,43,22.89,39,20.73,39.5,20,48.7,6.4,64.73,20.5333333333333,34.5,23.39,45.8633333333333,20.3566666666667,42.4333333333333,6.08333333333333,754.25,98,1,63.1666666666667,5.78333333333333,46.5471378760412,46.5471378760412
59,30,"03:10:00","Mon",0,19.5666666666667,NA,17.2,39.79,20.1,38.8,19.2,36.6266666666667,17.5,59.1633333333333,0.75,76.425,17.79,31.8233333333333,20.9633333333333,45.26,17.6,39.4,0.516666666666667,747.383333333333,97.3333333333333,2,52.6666666666667,0.0833333333333333,3.76874780049548,3.76874780049548
60,420,"13:50:00","Sat",10,19.9266666666667,NA,19.5,44.3633333333333,19.89,45.06,18.3666666666667,47.2333333333333,18.275,83.6477777777778,6.4,99.9,16.8011111111111,42.8138888888889,19.1166666666667,52.6083333333333,16.39,47.6633333333333,6.46666666666667,752.133333333333,89.6666666666667,4.83333333333333,36.8333333333333,4.91666666666667,48.8593331770971,48.8593331770971
61,40,"01:50:00","Mon",0,20.8566666666667,35.3633333333333,17.7,39.2,20.29,36.9,19.7,34.2,18.6,51.23,1.03888888888889,64,21.5666666666667,33.7,23.04375,40.25125,19.29,39.09,1.78333333333333,768.85,88.1666666666667,2.66666666666667,63,0,31.8730350700207,31.8730350700207
62,60,"22:10:00","Sun",30,22.39,45.03,21.4266666666667,44.53,21.89,44.29,21.8233333333333,45.6566666666667,18.7,56.634,10.5,90.09,18.39,45.06,22.1333333333333,49.8633333333333,18.39,46.925,10.3833333333333,754.55,92.5,8.16666666666667,30.8333333333333,9.21666666666667,39.3632712657563,39.3632712657563
63,50,"06:00:00","Thu",0,18.29,38.79,17.5,38.79,18.7,40.29,17.29,38.09,16.1611111111111,55.345,-1.53,93.16,16.1,33.9,19,46.545,15.89,43.4,-2.2,762.7,89,2,51,-3.8,41.5659964666702,41.5659964666702
64,60,"22:40:00","Sat",0,19.39,42.1633333333333,19,41.29,17.89,43.8266666666667,15.89,48.2,15.5,51.06,5.69,99.9,15.5,40.45,19.34,49.17,15.1,45.6266666666667,5.43333333333333,769.966666666667,91,4.33333333333333,21.6666666666667,4.13333333333333,36.8594454252161,36.8594454252161
65,30,"17:20:00","Tue",10,20.79,36.7,19.2,37.59,20.5666666666667,35.9,19,37.1266666666667,17.5,44.2,NA,85.5,18.5,32.26,19.6,38.23,17.8566666666667,37.26,5.16666666666667,753.333333333333,94.3333333333333,9.33333333333333,55.6666666666667,4.33333333333333,10.3769182460383,10.3769182460383
66,50,"01:50:00","Wed",0,21.1,40.09,19,41.09,21,40.6633333333333,20.29,38.5,18.8328571428571,69.0257142857143,NA,83.4666666666667,19,38.76,20.6,46.7233333333333,18.29,43.054,-0.116666666666667,760.616666666667,97.6666666666667,1,54.6666666666667,-0.466666666666667,4.58585467422381,4.58585467422381
67,210,"13:00:00","Sun",10,20.6666666666667,43.3633333333333,19.0333333333333,41.9266666666667,20.5,40.29,19.6666666666667,38.3633333333333,17.8344444444444,49.23,3.9,92.33,19.2,37.4327777777778,21.1,42.9,18,39.7,3.3,737.8,89,3,65,1.7,20.1610634452663,20.1610634452663
68,50,"06:10:00","Mon",0,21.29,38.29,18.6,41.79,22.79,38.29,19.89,38.9666666666667,19.8233333333333,47.4333333333333,8.26333333333333,46,21.29,38.5,23,43.9333333333333,20.29,43.09,7.71666666666667,741.8,78.8333333333333,11.3333333333333,40,4.2,22.800723311957,22.800723311957
69,140,"11:50:00","Sun",30,19.26,44.9666666666667,18.6,44,19.29,45.59,19,44.76,16.65,88.23,7.09,99.9,15.66,42.1472222222222,18.3733333333333,53.9105555555556,15.69,48.8266666666667,6.58333333333333,768.1,98.8333333333333,5,50.3333333333333,6.36666666666667,43.6277454602532,43.6277454602532
70,50,"04:20:00","Tue",0,22.2,NA,21.29,45.7,23.2,46,20.39,49.03,19.89,58.9222222222222,10.2633333333333,99.9,18.79,46.29,20.79,56.27,18.1666666666667,52.29,9.83333333333333,759.033333333333,97.6666666666667,4.33333333333333,49.6666666666667,9.43333333333333,30.3165879682638,30.3165879682638
71,90,"15:40:00","Wed",30,21.5,NA,20.3233333333333,38.9,23.0666666666667,38.46,21.73,33.5666666666667,18.6333333333333,45.03,NA,12.2933333333333,20.76,24.8566666666667,23,34.4,19.73,38,8.36666666666667,764.066666666667,48.6666666666667,8,28,-1.96666666666667,39.0979407820851,39.0979407820851
72,80,"10:00:00","Sun",0,18.7,39.26,16.79,41.1633333333333,20,37.5,18.4633333333333,38.1566666666667,17.6,50.93,3.09,75.2633333333333,17.89,32.4,20.2,43.09,18,41.2233333333333,2.9,746.5,95,6,20,2.1,22.4257300840691,22.4257300840691
73,330,"13:40:00","Sun",10,20.34,46.395,19.73,44.09,20.0966666666667,49.3933333333333,18.745,46,16.1,72.1938888888889,8.19,99.9,15.69,43.145,19,52.4044444444444,15.69,48.2,7.26666666666667,767.8,99,4,33.3333333333333,7.06666666666667,7.8476200113073,7.8476200113073
74,40,"05:50:00","Mon",0,19.2,34.4,17.2,35.6633333333333,19.79,36.4,18.39,33.5,17.5,57.5666666666667,NA,72.33,19.89,35.26,20.6,42,18.1,41,0.0833333333333333,761.433333333333,87,4.16666666666667,40,-1.83333333333333,19.9728523148224,19.9728523148224
75,60,"00:00:00","Fri",0,22.0333333333333,NA,19.89,41.9666666666667,21.9266666666667,38.29,20.39,38.7,20.1,53.9333333333333,6.83333333333333,64.06,20.39,38.3633333333333,22.6666666666667,45.26,19.29,40.53,6.3,755.7,96,3,45,5.7,49.6134268119931,49.6134268119931
76,520,"14:40:00","Fri",0,21.1,38.7071428571429,20.29,37.7,20.8042857142857,38.2685714285714,19.1,36.5675,18,46.4,7.47142857142857,82.78,18.5285714285714,32.9142857142857,20,39.2675,18.39,38.7,5.26666666666667,738.8,87,3.33333333333333,32,3.23333333333333,5.25895054452121,5.25895054452121
77,40,"02:20:00","Sun",0,22.2,43.4333333333333,21.5,43.2,21.8233333333333,44.73,19.1,44.59,19.2,61.745,10.9333333333333,61.4666666666667,18.79,40.0961111111111,22.1,51.8755555555556,19.1,49.4,11.5333333333333,741.566666666667,62,9.33333333333333,40,4.36666666666667,14.200087741483,14.200087741483
78,60,"15:00:00","Mon",0,21.2,35.5,19.6,36.8633333333333,21.6666666666667,35.6266666666667,20.1,35.2,19.26,41.59,12.1333333333333,21.3666666666667,19.2,30.4266666666667,21.6,37,19.5,36.53,9.6,760.7,62,1,40,2.7,14.3773813149892,14.3773813149892
79,80,"11:50:00","Tue",0,21.79,NA,20.6666666666667,39.8633333333333,22.7,37.4,20.39,38.59,20.4633333333333,51.2666666666667,11.2783333333333,27.3011111111111,20.89,33.5,23.6,44.0772222222222,20.5,39.4633333333333,9.01666666666667,751.133333333333,73.5,7,40,4.51666666666667,44.470300571993,44.470300571993
80,50,"11:10:00","Tue",0,21.79,NA,20.39,40.4333333333333,22.79,37.2,20.29,38.7,20.39,53.8666666666667,11.0277777777778,33.7888888888889,20.79,33.56,23.39,43.1694444444444,20.39,39.5,8.68333333333333,750.866666666667,75.5,7,40,4.58333333333333,35.79891261179,35.79891261179
81,60,"00:00:00","Thu",0,21,35.6266666666667,19.1666666666667,36.8266666666667,19.89,36.856,18.6,35.845,18.89,42.7257142857143,-1.76,80.8666666666667,18.7,29.3566666666667,21.5333333333333,39.79,17.9633333333333,38.09,-0.2,755.3,90,3,62,-1.6,15.7337203272618,15.7337203272618
82,40,"22:50:00","Wed",0,21.9633333333333,37,20.5333333333333,36.59,20.79,38.5,20.6,35.53,18.7,49.9333333333333,NA,81.4,18.5,30.9966666666667,21.7,39.4,18.1,37.4233333333333,2.5,744.8,88.3333333333333,6.5,29.1666666666667,0.783333333333333,49.4657739065588,49.4657739065588
83,60,"00:10:00","Sun",0,21.39,35.9,18.5666666666667,38.9333333333333,20.0333333333333,36.3266666666667,19.89,35.2,18.89,47.4,1.13333333333333,61.5333333333333,20.79,30.6333333333333,23.39,37.0666666666667,18.89,39.1633333333333,1.41666666666667,768.183333333333,87.1666666666667,2,57,-0.466666666666667,36.730464163702,36.730464163702
84,20,"04:00:00","Thu",0,18.7,42.29,18.0333333333333,41.53,19.79,43.3266666666667,18.29,41.9666666666667,17.5666666666667,63.06,3.06,91.33,18.1,42.4666666666667,19.1,50.59,16.7,47.1266666666667,3.4,752.1,89,5,28,1.8,49.0509042399935,49.0509042399935
85,110,"21:20:00","Mon",30,22.79,NA,20,39.1266666666667,22.5,35.4,20.6,34.79,20.63,87.7633333333333,3.25,33.2925,21.5333333333333,24.5,22.29,32.06,19.5333333333333,37.5,3.13333333333333,766.7,70.3333333333333,2.33333333333333,22,-1.83333333333333,27.5240763905458,27.5240763905458
86,250,"11:20:00","Mon",0,19.26,35.0266666666667,19.0333333333333,33.53,20.0666666666667,36.8266666666667,19,32.8633333333333,17.1666666666667,50.93,NA,40.53,19.29,28.6333333333333,20,35.9333333333333,18.2,39.79,3.96666666666667,762.833333333333,57.6666666666667,7,35.6666666666667,-3.66666666666667,48.9965941873379,48.9965941873379
87,60,"02:10:00","Mon",0,22,NA,19,40.79,22.1,36.79,19.89,36.9,19.5,45.29,3.86,62.2333333333333,19.29,32.2,23.2,43.93,19.6,40,4.08333333333333,761.266666666667,93.5,1.83333333333333,61.1666666666667,3.15,49.2352448869497,49.2352448869497
